Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Conference name,Document Type
Huang Y.; Li X.; Qiao M.; Tang K.; Zhang C.; Gui H.; Wang P.; Liu F.,Android-SEM: Generative Adversarial Network for Android Malware Semantic Enhancement Model Based on Transfer Learning,2022,Electronics (Switzerland),3,10.3390/electronics11050672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125384987&doi=10.3390%2felectronics11050672&partnerID=40&md5=701b160e62b19b96cab155fe50a779f2,"Currently, among the millions of Android applications, there exist numerous malicious programs that pose significant threats to people’s security and privacy. Therefore, it is imperative to develop approaches for detecting Android malware. Recently developed malware detection methods usually rely on various features, such as application programming interface (API) sequences, images, and permissions, thereby ignoring the importance of source code and the associated comments, which are not usually included in malware. Therefore, we propose Android-SEM, which is an Android source code semantic enhancement model based on transfer learning. Our proposed model is built upon the Transformer architecture to achieve a pretraining framework for generating code comments from malware source code. The performance of the pretraining framework is optimized using a generative adversarial network. Our proposed model relies on a novel regression model-based filter to retain high-quality comments and source code for feature fusion pertinent to semantic enhancement. Creatively, and contrary to conventional methods, we incorporated a quantum support vector machine (QSVM) for classifying malicious Android code by combining quantum machine learning and classical deep learning models. The results proved that Android-SEM achieves accuracy levels of 99.55% and 99.01% for malware detection and malware categorization, respectively. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Android malware detection; Generative adversarial network; Quantum support vector machine; Semantic enhancement; Transfer learning,,,Article
Pasetto E.; Riedel M.; Melgani F.; Michielsen K.; Cavallaro G.,Quantum SVR for Chlorophyll Concentration Estimation in Water With Remote Sensing,2022,IEEE Geoscience and Remote Sensing Letters,2,10.1109/LGRS.2022.3200325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136868706&doi=10.1109%2fLGRS.2022.3200325&partnerID=40&md5=dba4ab4947b2ecd5474a220a82f774ad,"The increasing availability of quantum computers motivates researching their potential capabilities in enhancing the performance of data analysis algorithms. Similarly, as in other research communities, also in remote sensing (RS), it is not yet defined how its applications can benefit from the usage of quantum computing (QC). This letter proposes a formulation of the support vector regression (SVR) algorithm that can be executed by D-Wave quantum computers. Specifically, the SVR is mapped to a quadratic unconstrained binary optimization (QUBO) problem that is solved with quantum annealing (QA). The algorithm is tested on two different types of computing environments offered by D-Wave: the advantage system, which directly embeds the problem into the quantum processing unit (QPU), and a hybrid solver that employs both classical and QC resources. For the evaluation, we considered a biophysical variable estimation problem with RS data. The experimental results show that the proposed quantum SVR implementation can achieve comparable or, in some cases, better results than the classical implementation. This work is one of the first attempts to provide insight into how QA could be exploited and integrated in future RS workflows based on machine learning (ML) algorithms.  © 2004-2012 IEEE.",Quantum annealing (QA); quantum computing (QC); quantum machine learning (QML); remote sensing (RS); support vector regression (SVR),Annealing; Learning algorithms; Learning systems; Optimization; Quantum computers; Remote sensing; Annealing; Machine learning algorithms; Machine-learning; Optimisations; Quantum annealing; Quantum Computing; Quantum machine learning; Quantum machines; Remote-sensing; Support vector regressions; Support vectors machine; algorithm; estimation method; machine learning; optimization; remote sensing; satellite data; support vector machine; Support vector machines,,Article
Ngo A.P.; Le N.; Nguyen H.T.; Eroglu A.; Nguyen D.T.,A Quantum Neural Network Regression for Modeling Lithium-ion Battery Capacity Degradation,2023,IEEE Green Technologies Conference,0,10.1109/GreenTech56823.2023.10173794,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166261275&doi=10.1109%2fGreenTech56823.2023.10173794&partnerID=40&md5=811f20098c3626d1278e54fc2e794caa,"Given their high power density, low discharge rate, and decreasing cost, rechargeable lithium-ion batteries (LiBs) have found a wide range of applications such as power grid-level storage systems, electric vehicles (EVs), and mobile devices. Developing a framework to accurately model the nonlinear degradation process of LiBs, which is indeed a supervised learning problem, becomes an important research topic. This paper presents a classical-quantum hybrid machine learning approach to capture the LiB degradation model that assesses the loss of battery cell life from the operating profiles. Our work is motivated by recent advances in quantum computers as well as the similarity between neural networks and quantum circuits. Similarly to adjusting weight parameters in conventional neural networks, the parameters of the quantum circuit, namely, the degree of freedom of the qubits, can be tuned to learn a nonlinear function in a supervised learning fashion. As a proof of concept paper, our obtained numerical results with the battery dataset provided by NASA demonstrate the ability of the quantum neural networks in modeling the nonlinear relationship between the degraded capacity and the operating cycles. We also discuss the potential advantage of the quantum approach compared to conventional neural networks in classical computers in dealing with massive data, especially in the context of future penetration of EVs and energy storage.  © 2023 IEEE.",battery degradation; battery life estimation; Lithium-ion battery; Quantum neural network,Degrees of freedom (mechanics); Digital storage; Electric discharges; Ions; Learning systems; NASA; Quantum computers; Quantum optics; Battery capacity; Battery degradation; Battery life estimation; Capacity degradation; Discharge rates; High-power-density; Neural-networks; Quantum circuit; Quantum neural networks; Rechargeable lithium ion battery; Lithium-ion batteries,"15th Annual IEEE Green Technologies Conference, GreenTech 2023",Conference paper
Hong Y.-Y.; Arce C.J.E.; Huang T.-W.,A Robust Hybrid Classical and Quantum Model for Short-Term Wind Speed Forecasting,2023,IEEE Access,0,10.1109/ACCESS.2023.3308053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168718582&doi=10.1109%2fACCESS.2023.3308053&partnerID=40&md5=efa1d74837cdca7246f70c965d0b3960,"Power scheduling by power utilities is more difficult than in the past decades because of a high penetration of renewable power generation, such as wind power generation, with highly uncertain and stochastic characteristics. To address this issue, a highly accurate technique for forecasting wind speed must be developed. In this work, a hybrid classical-quantum model is developed to exploit the advantages of two powerful models, a long short-term memory (LSTM) and a quantum neural network. Quantum neural networks, also known as parameterized quantum circuits, act like machine learning models but with greater expressive power. They comprise quantum gates that apply the principles of quantum mechanics in order to achieve quantum advantage. Additionally, to obtain a robust design that is insensitive to seasonal changes in the data, the Taguchi method is used to set up orthogonal experiments to set the hyperparameters of the proposed model. Historical data from seven sites in various countries (Taiwan, the Philippines, China, and South Korea) are used to forecast 24-hour-ahead wind speeds at the Fuhai wind farm near Taiwan. Comparative simulation results show that the proposed robust hybrid classical-quantum model outperforms current state-of-art models, such as classical nonlinear autoregressive network, random forest, extreme gradient boosting, support vector regression, and classical LSTM. © 2013 IEEE.",Deep learning model; quantum neural network; robust design; wind speed forecasting,Power generation; Quantum computers; Quantum electronics; Stochastic models; Stochastic systems; Taguchi methods; Weather forecasting; Wind power; Wind speed; Annealing; Computational modelling; Deep learning model; Learning models; Machine-learning; Quantum annealing; Quantum Computing; Quantum neural networks; Robust designs; Wind speed; Wind speed forecasting; Long short-term memory,,Article
Date P.; Arthur D.; Pusey-Nazzaro L.,QUBO formulations for training machine learning models,2021,Scientific Reports,42,10.1038/s41598-021-89461-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105770081&doi=10.1038%2fs41598-021-89461-4&partnerID=40&md5=e148ac67ae1490fff75306c89af6efb1,"Training machine learning models on classical computers is usually a time and compute intensive process. With Moore’s law nearing its inevitable end and an ever-increasing demand for large-scale data analysis using machine learning, we must leverage non-conventional computing paradigms like quantum computing to train machine learning models efficiently. Adiabatic quantum computers can approximately solve NP-hard problems, such as the quadratic unconstrained binary optimization (QUBO), faster than classical computers. Since many machine learning problems are also NP-hard, we believe adiabatic quantum computers might be instrumental in training machine learning models efficiently in the post Moore’s law era. In order to solve problems on adiabatic quantum computers, they must be formulated as QUBO problems, which is very challenging. In this paper, we formulate the training problems of three machine learning models—linear regression, support vector machine (SVM) and balanced k-means clustering—as QUBO problems, making them conducive to be trained on adiabatic quantum computers. We also analyze the computational complexities of our formulations and compare them to corresponding state-of-the-art classical approaches. We show that the time and space complexities of our formulations are better (in case of SVM and balanced k-means clustering) or equivalent (in case of linear regression) to their classical counterparts. © 2021, The Author(s).",,,,Article
González F.A.; Gallego A.; Toledo-Cortés S.; Vargas-Calderón V.,Learning with density matrices and random features,2022,Quantum Machine Intelligence,6,10.1007/s42484-022-00079-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137066802&doi=10.1007%2fs42484-022-00079-9&partnerID=40&md5=daac80d59ecadcf562bdc4e90052d79a,"A density matrix describes the statistical state of a quantum system. It is a powerful formalism to represent both the quantum and classical uncertainty of quantum systems and to express different statistical operations such as measurement, system combination and expectations as linear algebra operations. This paper explores how density matrices can be used as a building block for machine learning models exploiting their ability to straightforwardly combine linear algebra and probability. One of the main results of the paper is to show that density matrices coupled with random Fourier features could approximate arbitrary probability distributions over Rn. Based on this finding the paper builds different models for density estimation, classification and regression. These models are differentiable, so it is possible to integrate them with other differentiable components, such as deep learning architectures and to learn their parameters using gradient-based optimization. In addition, the paper presents optimization-less training strategies based on estimation and model averaging. The models are evaluated in benchmark tasks and the results are reported and discussed. © 2022, The Author(s).",Classification; Density estimation; Density matrix; Quantum machine learning; Regression,Deep learning; Learning systems; Probability distributions; Quantum optics; Uncertainty analysis; Density estimation; Density matrix; Machine-learning; Measurement system; Quantum machine learning; Quantum machines; Quantum system; Random features; Regression; Uncertainty; Matrix algebra,,Article
Fan T.; Trask N.; D'Elia M.; Darve E.,Probabilistic partition of unity networks for high-dimensional regression problems,2023,International Journal for Numerical Methods in Engineering,0,10.1002/nme.7207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149845817&doi=10.1002%2fnme.7207&partnerID=40&md5=8f9b363c5e5c0f4e48f0024e5ed2b767,"We explore the probabilistic partition of unity network (PPOU-Net) model in the context of high-dimensional regression problems and propose a general framework focusing on adaptive dimensionality reduction. With the proposed framework, the target function is approximated by a mixture of experts model on a low-dimensional manifold, where each cluster is associated with a fixed-degree polynomial. We present a training strategy that leverages the expectation maximization (EM) algorithm. During the training, we alternate between (i) applying gradient descent to update the DNN coefficients; and (ii) using closed-form formulae derived from the EM algorithm to update the mixture of experts model parameters. Under the probabilistic formulation, step (ii) admits the form of embarrassingly paralleliazable weighted least-squares solves. The PPOU-Nets consistently outperform the baseline fully-connected neural networks of comparable sizes in numerical experiments of various data dimensions. We also explore the proposed model in applications of quantum computing, where the PPOU-Nets act as surrogate models for cost landscapes associated with variational quantum circuits. © 2023 John Wiley & Sons, Ltd.",deep learning; dimensionality reduction; mixture of experts; nonparametric regression,Deep learning; Gradient methods; Maximum principle; Reduction; Regression analysis; Deep learning; Dimensionality reduction; Expectations maximization algorithms; High-dimensional regression problems; Mixture of experts; Mixture-of-experts model; Network models; Non-parametric regression; Partition of unity; Probabilistics; Quantum computers,,Article
Lourenço M.P.; Herrera L.B.; Hostaš J.; Calaminici P.; Köster A.M.; Tchagang A.; Salahub D.R.,Automatic structural elucidation of vacancies in materials by active learning,2022,Physical Chemistry Chemical Physics,4,10.1039/d2cp02585j,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140852130&doi=10.1039%2fd2cp02585j&partnerID=40&md5=0db3e33f6b01b2391f86d677e6b89237,"Finding the optimum structures of non-stoichiometric or berthollide materials, such as (1D, 2D, 3D) materials or nanoparticles (0D), is challenging due to the huge chemical/structural search space. Computational methods coupled with global optimization algorithms have been used successfully for this purpose. In this work, we have developed an artificial intelligence method based on active learning (AL) or Bayesian optimization for the automatic structural elucidation of vacancies in solids and nanoparticles. AL uses machine learning regression algorithms and their uncertainties to take decisions (from a policy) on the next unexplored structures to be computed, increasing the probability of finding the global minimum with few calculations. The methodology allows an accurate and automated structural elucidation for vacancies, which are common in non-stoichiometric (berthollide) materials, helping to understand chemical processes in catalysis and environmental sciences, for instance. The AL vacancies method was implemented in the quantum machine learning software/agent for material design and discovery (QMLMaterial). Also, two additional acquisition functions for decision making were implemented, besides the expected improvement (EI): the lower confidence bound (LCB) and the probability of improvement (PI). The new software was applied for the automatic structural search for graphite (C36) with 3 (C36-3) and 4 (C36-4) carbon vacancies and C60 (C60-4) fullerene with 4 carbon vacancies. DFTB calculations were used to build the complex search surfaces with reasonably low computational cost. Furthermore, with the AL method for vacancies, it was possible to elucidate the optimum oxygen vacancy distribution in CaTiO3 perovskite by DFT, where a semiconductor behavior results from oxygen vacancies. Throughout the work, a Gaussian process with its uncertainty was employed in the AL framework using different acquisition functions (EI, LCB and PI), and taking into account different descriptors: Ewald sum matrix and sine matrix. Finally, the performance of the proposed AL method was compared to random search and genetic algorithm. © 2022 The Royal Society of Chemistry.",,Carbon; Decision making; Design for testability; Genetic algorithms; Global optimization; Learning algorithms; Machine learning; Oxygen vacancies; Perovskite; Structural optimization; Active Learning; Active learning methods; C 60; Carbon vacancy; Expected improvements; Lower confidence bound; matrix; Nonstoichiometric; Structural elucidation; Uncertainty; Nanoparticles,,Article
Liao H.; Convy I.; Yang Z.; Whaley K.B.,Decohering tensor network quantum machine learning models,2023,Quantum Machine Intelligence,3,10.1007/s42484-022-00095-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146907689&doi=10.1007%2fs42484-022-00095-9&partnerID=40&md5=1fe1450c5cd97d7b8f2a24f107854478,"Tensor network quantum machine learning (QML) models are promising applications on near-term quantum hardware. While decoherence of qubits is expected to decrease the performance of QML models, it is unclear to what extent the diminished performance can be compensated for by adding ancillas to the models and accordingly increasing the virtual bond dimension of the models. We investigate here the competition between decoherence and adding ancillas on the classification performance of two models, with an analysis of the decoherence effect from the perspective of regression. We present numerical evidence that the fully decohered unitary tree tensor network (TTN) with two ancillas performs at least as well as the non-decohered unitary TTN, suggesting that it is beneficial to add at least two ancillas to the unitary TTN regardless of the amount of decoherence may be consequently introduced. © 2023, The Author(s).",Decoherence; Quantum machine learning; Tensor networks,Machine learning; Quantum theory; Qubits; Classification performance; Decoherence; Decoherence effects; Machine learning models; Machine-learning; Performance; Quantum machine learning; Quantum machines; Tensor network; Virtual bonds; Tensors,,Article
Deville Y.; Deville A.,New Single-Preparation Methods for Unsupervised Quantum Machine Learning Problems,2021,IEEE Transactions on Quantum Engineering,6,10.1109/TQE.2021.3121797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121675692&doi=10.1109%2fTQE.2021.3121797&partnerID=40&md5=982001bfb44095bc94c3caa22bcef37a,"The term 'machine learning' especially refers to algorithms that derive mappings, i.e., input-output transforms, by using numerical data that provide information about considered transforms. These transforms appear in many problems related to classification/clustering, regression, system identification, system inversion, and input signal restoration/separation. We here analyze the connections between all these problems in the classical and quantum frameworks. We then focus on their most challenging versions, involving quantum data and/or quantum processing means, and unsupervised, i.e., blind, learning. We consider the general single-preparation quantum information processing (SIPQIP) framework that we have recently proposed. It involves methods that can work with a single instance of each (unknown) state, whereas usual methods are quite cumbersome because they have to very accurately create many copies of each (known) state. In our previous papers, we applied the SIPQIP approach to only one task [blind quantum process tomography (BQPT)], but it opens the way to a large range of other types of methods. In this article, we, therefore, propose various new SIPQIP methods that efficiently perform tasks related to system identification (blind Hamiltonian parameter estimation (BHPE), blind quantum channel identification/estimation, and blind phase estimation), system inversion and state estimation (blind quantum source separation (BQSS), blind quantum entangled state restoration (BQSR), and blind quantum channel equalization), and classification. Numerical tests show that our SIPQIP framework, moreover, yields much more accurate estimation than the usual multiple-preparation approach. Our methods are especially useful in a quantum computer, which we propose to more briefly call a 'quamputer': BQPT and BHPE simplify the characterization of quamputer gates; BQSS and BQSR yield quantum gates that may be used to compensate for the nonidealities that alter states stored in quantum registers and open the way to very general self-adaptive quantum gates. © 2020 IEEE.",Blind Hamiltonian parameter estimation (BHPE); blind quantum process tomography (BQPT); blind quantum source separation (BQSS); blind quantum state restoration (BQSR); blind/unsupervised quantum machine learning; Heisenberg exchange coupling; quantum classification; quantum computer (quamputer); single-preparation quantum information processing (SIPQIP); spin-based qubits,Blind equalization; Blind source separation; Classification (of information); Hamiltonians; Machine learning; Parameter estimation; Quantum entanglement; Qubits; Religious buildings; Restoration; Signal reconstruction; Tomography; Blind hamiltonian parameter estimation; Blind quantum process tomography; Blind quantum source separation; Blind quantum source separations; Blind quantum state restoration; Blind/unsupervised quantum machine learning; Hamiltonian parameters; Heisenberg exchange; Heisenberg exchange coupling; Parameters estimation; Quanta computers; Quantum classification; Quantum computer; Quantum information processing; Quantum process tomography; Quantum state; Single-preparation quantum information processing; Spin-based qubit; State restoration; Quantum optics,,Article
