Authors,Author full names,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type
Rao G.V.E.; B. R.; Srinivasu P.N.; Ijaz M.F.; Woźniak M.,"Rao, G.V. Eswara (57815228800); B., Rajitha (58632662900); Srinivasu, Parvathaneni Naga (57200093122); Ijaz, Muhammad Fazal (58652231200); Woźniak, Marcin (36195020800)",Hybrid framework for respiratory lung diseases detection based on classical CNN and quantum classifiers from chest X-rays,2024,Biomedical Signal Processing and Control,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174329402&doi=10.1016%2fj.bspc.2023.105567&partnerID=40&md5=e5b73261b7b5fb80a94ef6bdfc759b23,"The human respiratory system might be seriously affected by COVID-19 infection. Therefore, early classification of it is a crucial task. Quantum machine learning and quantum neural network models can play an effective role in multiclass classification problems. Compared to standard deep and machine learning classifiers, the quantum variational classifier may lead to less memory usage, accuracy, and portability for respiratory disease detection. This article proposes a hybrid respiratory lung disease detection framework based on classical CNN and Quantum classifiers. It combines a classical deep feature extraction model with quantum classifiers. A new custom convolutional neural network (CCNN) deep learning model is proposed to perform feature extraction, and the Multi-Multi-Single (MMS) & Multi-Single-Multi-Single (MSMS) are proposed as quantum machine learning algorithms. These two quantum classifiers are built via a quantum variational circuit with encoding, entanglement, and measurement properties. The tests were carried out on the COVID-19 Radiography Dataset (CRD), which contains 15,153 chest X-ray images of COVID-19, Viral, and Normal. The experimental results revealed that the proposed model had the highest training and testing accuracy of 98.9% and 98.1%, on the CRD dataset, with a computation cost of 0.07 and 0.08 respectively. This hybrid model performs better than the other standard deep learning models. Additionally, we validated our MMS and MSMS quantum classifiers by deploying them on the IBM Q-QASM real-time quantum computer. © 2023 Elsevier Ltd",Convolutional neural network; Feature extraction; Quantum classifier; Quantum machine learning; Qubits,Biological organs; Chemical detection; Classification (of information); Convolution; Convolutional neural networks; Deep learning; Extraction; Learning algorithms; Learning systems; Quantum entanglement; Qubits; Statistical tests; Convolutional neural network; Disease detection; Features extraction; Human respiratory system; Hybrid framework; Learning models; Machine-learning; Quantum classifier; Quantum machine learning; Quantum machines; accuracy; Article; artificial neural network; classifier; comparative study; conceptual framework; convolutional neural network; coronavirus disease 2019; cost; covid 19 radiography dataset; deep learning; encoding; entanglement; experimental model; feature extraction; hybrid framework; lung disease; machine learning; measurement; memory; multi multi single algorithm; multi single multi single algorithm; multiclass classification; nonhuman; physical parameters; quantum classifier; quantum mechanics; quantum variational circuit; radiological parameters; residual neural network; thorax radiography; training; Feature extraction,Article
Gharehchopogh F.S.,"Gharehchopogh, Farhad Soleimanian (36650599500)",Quantum-inspired metaheuristic algorithms: comprehensive survey and classification,2023,Artificial Intelligence Review,36,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141142293&doi=10.1007%2fs10462-022-10280-8&partnerID=40&md5=aaab14dba44c9769f73438a95fa1ab72,"Metaheuristic algorithms are widely known as efficient solutions for solving problems of optimization. These algorithms supply powerful instruments with significant engineering, industry, and science applications. The Quantum-inspired metaheuristic algorithms were developed by integrating Quantum Computing (QC) concepts into metaheuristic algorithms. The QC-inspired metaheuristic algorithms solve combinational and numerical optimization problems to achieve higher-performing results than conventional metaheuristic algorithms. The QC is used more than any other strategy for accelerating convergence, enhancing exploration, and exploitation, significantly influencing metaheuristic algorithms’ performance. The QC is a new field of research that includes elements from mathematics, physics, and computing. QC has attracted increasing attention among scientists, technologists, and industrialists. During the current decade, it has provided a research platform for the scientific, technical, and industrial areas. In QC, metaheuristic algorithms can be improved by the parallel processing feature. This feature helps to find the best solutions for optimization problems. The Quantum-inspired metaheuristic algorithms have been used in the optimization fields. In this paper, a review of different usages of QC in metaheuristics has been presented. This review also shows a classification of the Quantum-inspired metaheuristic algorithms in optimization problems and discusses their applications in science and engineering. This review paper’s main aims are to give an overview and review the Quantum-inspired metaheuristic algorithms applications. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",Combinatorial; Metaheuristics; Optimization; Quantum Computing; Quantum-Inspired,Heuristic algorithms; Industrial research; Quantum computers; Combinatorial; Engineering applications; Engineering industries; Engineering science; Meta-heuristics algorithms; Metaheuristic; Optimisations; Optimization problems; Quantum Computing; Quantum-inspired; Optimization,Article
Friedrich L.; Maziero J.,"Friedrich, Lucas (57712329300); Maziero, Jonas (35090151500)",Evolution strategies: application in hybrid quantum-classical neural networks,2023,Quantum Information Processing,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149185118&doi=10.1007%2fs11128-023-03876-8&partnerID=40&md5=cc25e5418955311e224a7f32f254f2f2,"With the rapid development of quantum computers, several applications are being proposed for them. Quantum simulations, simulation of chemical reactions, solution of optimization problems and quantum neural networks (QNNs) are some examples. However, problems such as noise, limited number of qubits and circuit depth, and gradient vanishing must be resolved before we can use them to their full potential. In the field of quantum machine learning, several models have been proposed. In general, in order to train these different models, we use the gradient of a cost function with respect to the model parameters. In order to obtain this gradient, we must compute the derivative of this function with respect to the model parameters. One of the most used methods in the literature to perform this task is the parameter-shift rule method. This method consists of evaluating the cost function twice for each parameter of the QNN. A problem with this method is that the number of evaluations grows linearly with the number of parameters. In this work, we study an alternative method, called evolution strategies (ES), which are a family of black box optimization algorithms which iteratively update the parameters using a search gradient. An advantage of the ES method is that in using it, one can control the number of times the cost function will be evaluated. We apply the ES method to the binary classification task, showing that this method is a viable alternative for training QNNs. However, we observe that its performance will be strongly dependent on the hyperparameters used. Furthermore, we also observe that this method, alike the parameter shift rule method, suffers from the problem of gradient vanishing. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Binary classification; Evolution strategies; Hybrid quantum-classical neural networks; Quantum neural networks,Function evaluation; Iterative methods; Optimization; Parameter estimation; Quantum chemistry; Quantum computers; Quantum optics; Binary classification; Classical neural networks; Cost-function; Evolution strategies; Hybrid quantum-classical neural network; Modeling parameters; Parameter shifts; Quanta computers; Quantum neural networks; Quantum-classical; Cost functions,Article
Rashmi R.; Snekhalatha U.; Krishnan P.T.; Dhanraj V.,"Rashmi, Richa (57216499201); Snekhalatha, U. (57803525200); Krishnan, Palani Thanaraj (56151755600); Dhanraj, Varun (57204008244)",Fat-based studies for computer-assisted screening of child obesity using thermal imaging based on deep learning techniques: a comparison with quantum machine learning approach,2023,Soft Computing,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123824447&doi=10.1007%2fs00500-021-06668-3&partnerID=40&md5=8e75999ebb419e1fdcdcf60615f48c29,"The main objectives are (i) to study the relation of temperature of brown adipose tissue (BAT) with respect to obesity in different regions of the human body and to predict the most significant regional thermogram in determining the obese condition in children; (ii) to develop an customized convolutional neural network (CNN) model and to compare its performance with the modified pre-trained models for the automated screening of childhood obesity; (iii) to explore the application of quantum computing, namely variational quantum classifier (VQC), in the image classification of obesity condition. The mean skin surface temperature was measured in neck, forearm, abdomen and calf region for normal, overweight and obese children. Two modified pre-trained CNN (MobileNet-V2 and VGG-16) and Customized Net are studied for multi-class categorization of normal, overweight and obese thermograms. In addition, VQC was simulated and compared with the performance of deep learning techniques. Among the regional temperature studied, abdominal region exhibited high temperature difference of 3.72 °C (10.96%) and 5.56 °C (16.84%) between normal vs overweight and normal vs obese, respectively. The proposed Customized Net model achieved the best overall accuracy of 91.6% and 89.3% for abdomen region and neck region, respectively. Similarly, VQC has illustrated best classification accuracy in neck (84.4%) and abdomen (82.2%) regions. Moreover, VQC model promotes reduction in the computational cost for the diagnosis of obesity based on thermal imaging. Hence, regional thermogram assessment with deep learning and quantum computing approach is considered as a feasible method for preliminary screening of overweight and obesity condition in children. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Childhood obesity; Convolution neural network; Deep learning; Obesity; Quantum machine learning; Thermal imaging; Variation quantum classifier,Computer aided instruction; Convolutional neural networks; Deep neural networks; Image classification; Learning algorithms; Learning systems; Quantum computers; Thermography (imaging); Thermography (temperature measurement); Childhood obesity; Condition; Convolution neural network; Deep learning; Machine-learning; Obesity; Quantum machine learning; Quantum machines; Thermal-imaging; Variation quantum classifier; Convolution,Article
Ghasemian E.,"Ghasemian, E. (57190659184)",Stationary states of a dissipative two-qubit quantum channel and their applications for quantum machine learning,2023,Quantum Machine Intelligence,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149026803&doi=10.1007%2fs42484-023-00096-2&partnerID=40&md5=c2d56877a9345e5bd779e08790b77748,"Entangled-state preparation and preservation are the cornerstones of any quantum information platform. However, the strongest adversaries in quantum information science are unwanted environmental effects such as decoherence and dissipation. Here, we address how to control and harness these unwanted effects that arise from the coupling of a system with its environment, to provide stationary entangled states for quantum machine learning (QML). To do so, we design a dissipative quantum channel, i.e., a two-qubit system interacting with a squeezed vacuum field reservoir, and study the output state of the channel by solving the corresponding master equation, especially, in the small squeezing regime. We show that the time-dependent output state of the channel is the so-called two-qubit X-states that generalize many families of entangled two-qubit states. Also, by considering a general Bell diagonal state as the initial state of the system, we reveal that this dissipative channel generates two well-known classes of entangled mixed state and Werner-like states in the steady-state regime. Moreover, this channel provides an efficient way to determine whether a given initial state results in a stationary entangled state or not. Finally, we examine the potential application of the designed two-qubit channel for QML. In this line, we propose a general theoretical scheme for quantum neural networks (QNNs) implemented with the variational quantum circuits, which encode data in continuous variables (CVs) of the two-qubit states. The linear (also referred to as affine) and nonlinear (activation function) transformations are enacted in the QNN using the stationary states of the two-qubit channel and measurement process, respectively. Finally, we proceed to test our proposed model by solving some supervised binary classification tasks. Integrating the non-unitary transformation and parallel-processed neural computing on such a two-qubit channel establishes the requirements for a meaningful QNN. Such a CV-QNN model with sufficient layers may execute any algorithm implementable on a universal CV quantum computer. © 2023, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",Dissipative two-qubit channel; Quantum machine learning; Squeezed reservoir; Stationary entangled states,Communication channels (information theory); Linear transformations; Neural network models; Quantum channel; Quantum entanglement; Quantum optics; Qubits; Dissipative two-qubit channel; Entangled state; Machine-learning; Quantum machine learning; Quantum machines; Quantum neural networks; Qubit channels; Squeezed reservoirs; Stationary entangled state; Two-qubit; Machine learning,Article
Liao H.; Convy I.; Yang Z.; Whaley K.B.,"Liao, Haoran (57222474645); Convy, Ian (57222476733); Yang, Zhibo (58078193000); Whaley, K. Birgitta (22973344800)",Decohering tensor network quantum machine learning models,2023,Quantum Machine Intelligence,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146907689&doi=10.1007%2fs42484-022-00095-9&partnerID=40&md5=1fe1450c5cd97d7b8f2a24f107854478,"Tensor network quantum machine learning (QML) models are promising applications on near-term quantum hardware. While decoherence of qubits is expected to decrease the performance of QML models, it is unclear to what extent the diminished performance can be compensated for by adding ancillas to the models and accordingly increasing the virtual bond dimension of the models. We investigate here the competition between decoherence and adding ancillas on the classification performance of two models, with an analysis of the decoherence effect from the perspective of regression. We present numerical evidence that the fully decohered unitary tree tensor network (TTN) with two ancillas performs at least as well as the non-decohered unitary TTN, suggesting that it is beneficial to add at least two ancillas to the unitary TTN regardless of the amount of decoherence may be consequently introduced. © 2023, The Author(s).",Decoherence; Quantum machine learning; Tensor networks,Machine learning; Quantum theory; Qubits; Classification performance; Decoherence; Decoherence effects; Machine learning models; Machine-learning; Performance; Quantum machine learning; Quantum machines; Tensor network; Virtual bonds; Tensors,Article
Lourens M.; Sinayskiy I.; Park D.K.; Blank C.; Petruccione F.,"Lourens, Matt (57958764100); Sinayskiy, Ilya (32267678000); Park, Daniel K. (55361200600); Blank, Carsten (23096867100); Petruccione, Francesco (7003376483)",Hierarchical quantum circuit representations for neural architecture search,2023,npj Quantum Information,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167444479&doi=10.1038%2fs41534-023-00747-z&partnerID=40&md5=c737862b146fd6e2576a3c0856d8fdf4,"Quantum circuit algorithms often require architectural design choices analogous to those made in constructing neural and tensor networks. These tend to be hierarchical, modular and exhibit repeating patterns. Neural Architecture Search (NAS) attempts to automate neural network design through learning network architecture and achieves state-of-the-art performance. We propose a framework for representing quantum circuit architectures using techniques from NAS, which enables search space design and architecture search. We use this framework to justify the importance of circuit architecture in quantum machine learning by generating a family of Quantum Convolutional Neural Networks (QCNNs) and evaluating them on a music genre classification dataset, GTZAN. Furthermore, we employ a genetic algorithm to perform Quantum Phase Recognition (QPR) as an example of architecture search with our representation. Finally, we implement the framework as an open-source Python package to enable dynamic circuit creation and facilitate circuit search space design for NAS. © 2023, Springer Nature Limited.",,Classification (of information); Genetic algorithms; Learning systems; Python; Timing circuits; Circuit architectures; Learning network; Modulars; Neural architectures; Neural network designs; Quantum circuit; Repeating patterns; Search spaces; Space design; State-of-the-art performance; Network architecture,Article
Giuntini R.; Holik F.; Park D.K.; Freytes H.; Blank C.; Sergioli G.,"Giuntini, Roberto (6602701191); Holik, Federico (16646023300); Park, Daniel K. (55361200600); Freytes, Hector (6507854665); Blank, Carsten (23096867100); Sergioli, Giuseppe (26428430000)",Quantum-inspired algorithm for direct multi-class classification,2023,Applied Soft Computing,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145965749&doi=10.1016%2fj.asoc.2022.109956&partnerID=40&md5=d02e655169e7cc641aa68e1f379bab13,"Over the last few decades, quantum machine learning has emerged as a groundbreaking discipline. Harnessing the peculiarities of quantum computation for machine learning tasks offers promising advantages. Quantum-inspired machine learning has revealed how relevant benefits for machine learning problems can be obtained using the quantum information theory even without employing quantum computers. In the recent past, experiments have demonstrated how to design an algorithm for binary classification inspired by the method of quantum state discrimination, which exhibits high performance with respect to several standard classifiers. However, a generalization of this quantum-inspired binary classifier to a multi-class scenario remains nontrivial. Typically, a simple solution in machine learning decomposes multi-class classification into a combinatorial number of binary classifications, with a concomitant increase in computational resources. In this study, we introduce a quantum-inspired classifier that avoids this problem. Inspired by quantum state discrimination, our classifier performs multi-class classification directly without using binary classifiers. We first compared the performance of the quantum-inspired multi-class classifier with eleven standard classifiers. The comparison revealed an excellent performance of the quantum-inspired classifier. Comparing these results with those obtained using the decomposition in binary classifiers shows that our method improves the accuracy and reduces the time complexity. Therefore, the quantum-inspired machine learning algorithm proposed in this work is an effective and efficient framework for multi-class classification. Finally, although these advantages can be attained without employing any quantum component in the hardware, we discuss how it is possible to implement the model in quantum hardware. © 2022 Elsevier B.V.",Multi-class classification; Quantum information; Quantum-inspired machine learning,Classification (of information); Classifiers; Computer hardware; Information theory; Learning algorithms; Learning systems; Quantum computers; Quantum optics; Binary classification; Binary classifiers; Learning tasks; Machine-learning; Multi-class classification; Performance; Quantum Information; Quantum machines; Quantum state discrimination; Quantum-inspired machine learning; Machine learning,Article
Incudini M.; Grossi M.; Ceschini A.; Mandarino A.; Panella M.; Vallecorsa S.; Windridge D.,"Incudini, Massimiliano (57222239156); Grossi, Michele (57203555059); Ceschini, Andrea (57263921600); Mandarino, Antonio (56005297900); Panella, Massimo (57193363407); Vallecorsa, Sofia (57217324506); Windridge, David (8957206700)",Resource saving via ensemble techniques for quantum neural networks,2023,Quantum Machine Intelligence,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173578065&doi=10.1007%2fs42484-023-00126-z&partnerID=40&md5=848726c56a23792552978904f17f53a1,"Quantum neural networks hold significant promise for numerous applications, particularly as they can be executed on the current generation of quantum hardware. However, due to limited qubits or hardware noise, conducting large-scale experiments often requires significant resources. Moreover, the output of the model is susceptible to corruption by quantum hardware noise. To address this issue, we propose the use of ensemble techniques, which involve constructing a single machine learning model based on multiple instances of quantum neural networks. In particular, we implement bagging and AdaBoost techniques, with different data loading configurations, and evaluate their performance on both synthetic and real-world classification and regression tasks. To assess the potential performance improvement under different environments, we conducted experiments on both simulated, noiseless software and IBM superconducting-based QPUs, suggesting these techniques can mitigate the quantum hardware noise. Additionally, we quantify the amount of resources saved using these ensemble techniques. Our findings indicate that these methods enable the construction of large, powerful models even on relatively small quantum devices. © 2023, The Author(s).",Bagging; Boosting; Ensemble technique; Quantum machine learning; Quantum neural network,Machine learning; Qubits; Bagging; Boosting; Current generation; Ensemble techniques; Machine-learning; Performance; Quantum machine learning; Quantum machines; Quantum neural networks; Resource savings; Adaptive boosting,Article
Cugini D.; Gerace D.; Govoni P.; Perego A.; Valsecchi D.,"Cugini, Davide (57904473200); Gerace, Dario (56216966800); Govoni, Pietro (56566239800); Perego, Aurora (57904671600); Valsecchi, Davide (57219691188)",Comparing quantum and classical machine learning for Vector Boson Scattering background reduction at the Large Hadron Collider,2023,Quantum Machine Intelligence,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168313271&doi=10.1007%2fs42484-023-00106-3&partnerID=40&md5=95fc46bd48389c80ab5c8b23b1cc0972,"We report on a consistent comparison between techniques of quantum and classical machine learning applied to the classification of signal and background events for the Vector Boson Scattering processes, studied at the Large Hadron Collider installed at the CERN laboratory. Quantum machine learning algorithms based on variational quantum circuits are run on freely available quantum computing hardware, showing very good performances as compared to deep neural networks run on classical computing facilities. In particular, we show that such kind of quantum neural networks is able to correctly classify the targeted signal with an Area Under the characteristic Curve (AUC) that is very close to the one obtained with the corresponding classical neural network, but employing a much lower number of resources, as well as less variable data in the training set. Albeit giving a proof-of-principle demonstration with limited quantum computing resources, this work represents one of the first steps towards the use of near term and noisy quantum hardware for practical event classification in High Energy Physics experiments. © 2023, The Author(s).",Large Hadron Collider; Quantum computing; Quantum machine learning; Variational quantum circuits; Vector Boson Scattering,Bosons; Classification (of information); Hadrons; Learning algorithms; Learning systems; Particle accelerators; Quantum computers; Quantum theory; Timing circuits; Boson scattering; Large Hadron Collider; Large-hadron colliders; Machine-learning; Quantum circuit; Quantum Computing; Quantum machine learning; Quantum machines; Variational quantum circuit; Vector boson; Vector boson scattering; Deep neural networks,Article
