Authors,Title,Year,Source title,Cited by,Link,Abstract,DOI,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Publisher,Sponsors,Conference name,Conference date,Conference location,Document Type,Open Access
,"1st International Conference on Innovation and Emerging Trends in Computing and Information Technologies, IETCIT 2024",2025,Communications in Computer and Information Science,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85218691515&partnerID=40&md5=cf3f4348d43d801a858d112bb34458d2,The proceedings contain 44 papers. The special focus in this conference is on Innovation and Emerging Trends in Computing and Information Technologies. The topics include: Smallest Path Planning for Robots Using Simple ACO and Ant System Algorithms; An Asymmetric Single Channel Encryption Mechanism Using Unequal Modulus and QZS Algorithm in Fractional Fourier Transform; evaluation Criteria for Test Suites in Software Developed Through Test-Driven Development; LCB-eGyan Model: A Dynamic Cloud Architecture for e-Content Recommendation; gender and Ethnicity Recognition System Based on Convolutional Neural Networks; Radiographic Evaluation for KNEEXNET Using Ensemble Models; comparative Study of Quantum Computing Tools and Frameworks; security Evaluation and Oversight in Stock Trading Using Artificial Intelligence; A Dual Approach with Grad-CAM and Layer-Wise Relevance Propagation for CNN Models Explainability; CLAM – CNN and LSTM with Attention Mechanism for DNS Data Exfiltration Detection; comparison of Various Data Mining Techniques for Fake Profile Detection on Twitter; Strategies for Gen AI Enterprise Adoption; role of Deep Learning in Skin Cancer Diagnosis: A Deeper Insight; smart Education-Filtering Real Time Stream; RNA and Audio-Based Workflows Scheduling by Multi-Objective Optimization in Cloud Environment; group Authentication and Key Management Protocol with Chinese Remainder Theorem in Multicast Communication; network Traffic Analysis for Intrusion with Zero Trust; enhanced Image Deblurring with the Fusion of Generative Adversarial Networks and Transformer Models; analysis of Various Routing Protocols for Air Pollution Monitoring Systems in Wireless Sensor Networks; Intelligent Toll Management Using Limited CNN-Based Vehicle Classification; optimizing Software Demands Using Fuzzy-Based Evaluation Techniques.,,,,,,Springer Science and Business Media Deutschland GmbH,,"1st International Conference on Innovation and Emerging Trends in Computing and Information Technologies, IETCIT 2024",1 March 2024 through 2 March 2024,Mohali,Conference review,
Shah S.R.K.; Vatsa M.,Enhancing Quantum Diffusion Models with Pairwise Bell State Entanglement,2025,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85211800242&doi=10.1007%2f978-3-031-78395-1_23&partnerID=40&md5=eee7ef11284d15fdacbc7d9beb99f080," This paper introduces a novel quantum diffusion model designed for Noisy Intermediate-Scale Quantum (NISQ) devices. Unlike previous methods, this model efficiently processes higher-dimensional images with complex pixel structures, even on qubit-limited platforms. This is accomplished through a pairwise Bell-state entangling technique, which reduces space complexity. Additionally, parameterized quantum circuits enable the generation of quantum states with minimal parameters, while still delivering high performance. We conduct comprehensive experiments, comparing the proposed model with both classical and quantum techniques using datasets such as MNIST and CIFAR-10. The results show significant improvements in computational efficiency and performance metrics such as FID, SSIM and PSNR. By leveraging quantum entanglement and superposition, this approach advances quantum generative learning. This advancement paves the way for more sophisticated and resource-efficient quantum diffusion algorithms capable of handling complex data on the NISQ devices. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",10.1007/978-3-031-78395-1_23,"Indian Institute of Technology Jodhpur, Rajasthan, Jodhpur, India","Shah S.R.K., Indian Institute of Technology Jodhpur, Rajasthan, Jodhpur, India; Vatsa M., Indian Institute of Technology Jodhpur, Rajasthan, Jodhpur, India",Diffusion Models; Quantum Entanglement.; Quantum Machine Learning,Network security; Quantum computers; Quantum efficiency; Quantum electronics; Quantum optics; Bell state; Diffusion model; High-dimensional images; Machine-learning; Pixel structure; Quantum device; Quantum diffusion; Quantum entanglement.; Quantum machine learning; Quantum machines; Quantum entanglement,Springer Science and Business Media Deutschland GmbH,,"27th International Conference on Pattern Recognition, ICPR 2024",1 December 2024 through 5 December 2024,Kolkata,Conference paper,
Ghazi Vakili M.; Gorgulla C.; Snider J.; Nigam A.; Bezrukov D.; Varoli D.; Aliper A.; Polykovsky D.; Padmanabha Das K.M.; Cox III H.; Lyakisheva A.; Hosseini Mansob A.; Yao Z.; Bitar L.; Tahoulas D.; Čerina D.; Radchenko E.; Ding X.; Liu J.; Meng F.; Ren F.; Cao Y.; Stagljar I.; Aspuru-Guzik A.; Zhavoronkov A.,Quantum-computing-enhanced algorithm unveils potential KRAS inhibitors,2025,Nature Biotechnology,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85217219691&doi=10.1038%2fs41587-024-02526-3&partnerID=40&md5=de61a384fde5dc5be00916c4e03b0e1b,"We introduce a quantum–classical generative model for small-molecule design, specifically targeting KRAS inhibitors for cancer therapy. We apply the method to design, select and synthesize 15 proposed molecules that could notably engage with KRAS for cancer therapy, with two holding promise for future development as inhibitors. This work showcases the potential of quantum computing to generate experimentally validated hits that compare favorably against classical models. © The Author(s) 2025.",10.1038/s41587-024-02526-3,"Department of Computer Science, University of Toronto, Toronto, ON, Canada; Department of Chemistry, University of Toronto, Toronto, ON, Canada; Department of Structural Biology, St. Jude Children’s Research Hospital, Memphis, TN, United States; Department of Physics, Harvard University, Cambridge, MA, United States; Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada; Department of Computer Science, Stanford University, Stanford, CA, United States; Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Zapata AI, Boston, MA, United States; Insilico Medicine Canada, Inc., Montreal, QC, Canada; Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA, United States; Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Harvard University, Boston, MA, United States; Department of Molecular Genetics, University of Toronto, Toronto, ON, Canada; Department for Lung Diseases Jordanovac, Clinical Hospital Centre Zagreb, University of Zagreb, Zagreb, Croatia; Donnelly Centre, Department of Biochemistry, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada; Department of Oncology, University Hospital Center Split, School of Medicine, University of Split, Split, Croatia; AQI, Inc., Boston, MA, United States; Mediterranean Institute for Life Sciences (MedILS), School of Medicine, University of Split, Split, Croatia; Department of Chemical Engineering and Applied Chemistry, University of Toronto, Toronto, ON, Canada; Department of Materials Science and Engineering, University of Toronto, Toronto, ON, Canada; Vector Institute for Artificial Intelligence, Toronto, ON, Canada; Fellow, Canadian Institute for Advanced Research (CIFAR), Toronto, ON, Canada","Ghazi Vakili M., Department of Computer Science, University of Toronto, Toronto, ON, Canada, Department of Chemistry, University of Toronto, Toronto, ON, Canada; Gorgulla C., Department of Structural Biology, St. Jude Children’s Research Hospital, Memphis, TN, United States, Department of Physics, Harvard University, Cambridge, MA, United States; Snider J., Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada; Nigam A., Department of Computer Science, Stanford University, Stanford, CA, United States; Bezrukov D., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Varoli D., Zapata AI, Boston, MA, United States; Aliper A., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Polykovsky D., Insilico Medicine Canada, Inc., Montreal, QC, Canada; Padmanabha Das K.M., Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA, United States, Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Harvard University, Boston, MA, United States; Cox III H., Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Harvard University, Boston, MA, United States; Lyakisheva A., Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada; Hosseini Mansob A., Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada, Department of Molecular Genetics, University of Toronto, Toronto, ON, Canada; Yao Z., Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada; Bitar L., Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada, Department for Lung Diseases Jordanovac, Clinical Hospital Centre Zagreb, University of Zagreb, Zagreb, Croatia; Tahoulas D., Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada, Donnelly Centre, Department of Biochemistry, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada; Čerina D., Donnelly Centre, Department of Biochemistry, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada, Department of Oncology, University Hospital Center Split, School of Medicine, University of Split, Split, Croatia; Radchenko E., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Ding X., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Liu J., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Meng F., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Ren F., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates; Cao Y., AQI, Inc., Boston, MA, United States; Stagljar I., Donnelly Centre, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada, Department of Molecular Genetics, University of Toronto, Toronto, ON, Canada, Donnelly Centre, Department of Biochemistry, Temerty Faculty of Medicine, University of Toronto, Toronto, ON, Canada, Mediterranean Institute for Life Sciences (MedILS), School of Medicine, University of Split, Split, Croatia; Aspuru-Guzik A., Department of Computer Science, University of Toronto, Toronto, ON, Canada, Department of Chemistry, University of Toronto, Toronto, ON, Canada, Department of Chemical Engineering and Applied Chemistry, University of Toronto, Toronto, ON, Canada, Department of Materials Science and Engineering, University of Toronto, Toronto, ON, Canada, Vector Institute for Artificial Intelligence, Toronto, ON, Canada, Fellow, Canadian Institute for Advanced Research (CIFAR), Toronto, ON, Canada; Zhavoronkov A., Insilico Medicine AI Limited, Abu Dhabi, United Arab Emirates",,Molecules; Cancer therapy; Classical modeling; Generative model; Quantum Computing; Quantum-classical; Small molecules; Quantum computers,Nature Research,,,,,Article,All Open Access; Hybrid Gold Open Access
Kar A.K.; He W.; Payton F.C.; Grover V.; Al-Busaidi A.S.; Dwivedi Y.K.,How could quantum computing shape information systems research – An editorial perspective and future research directions,2025,International Journal of Information Management,3,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85188019072&doi=10.1016%2fj.ijinfomgt.2024.102776&partnerID=40&md5=082816ae0ec121e17b92ee3380773d5a,"Quantum computing promises to be the next frontier of change that will transform the information and communication technology ecosystem. Governments and multinational firms have announced large grants and research projects involving quantum computing. These projects are envisioned to solve extremely complex computational problems that may bring transformational value to mankind at large. Information systems, as a discipline, is and will continue to be affected by this disruptive technology. In this article, we examine the advances in quantum computing and explore possible areas of theory development in information systems. Further, we discuss challenges and opportunities in quantum computing based on current technological developments in the field. We conclude by providing research directions regarding the adoption, usage, impacts, governance, and skills surrounding quantum computing at the individual, organizational, and national levels. © 2024 Elsevier Ltd",10.1016/j.ijinfomgt.2024.102776,"Indian Institute of Technology Delhi, India; National Science Foundation, United States; Rutgers University, Newark, United States; North Carolina State University, United States; University of Arkansas, United States; Innovation & Technology Transfer Center, Sultan Qaboos University, Oman; Department of Business Communication, Sultan Qaboos University, Oman; Digital Futures for Sustainable Business & Society Research Group, Swansea University – Bay Campus, Swansea, United Kingdom; Symbiosis International (Deemed University), Pune, India","Kar A.K., Indian Institute of Technology Delhi, India; He W., National Science Foundation, United States; Payton F.C., Rutgers University, Newark, United States, North Carolina State University, United States; Grover V., University of Arkansas, United States; Al-Busaidi A.S., Innovation & Technology Transfer Center, Sultan Qaboos University, Oman, Department of Business Communication, Sultan Qaboos University, Oman; Dwivedi Y.K., Digital Futures for Sustainable Business & Society Research Group, Swansea University – Bay Campus, Swansea, United Kingdom, Symbiosis International (Deemed University), Pune, India",Emerging technology management; Generative Artificial Intelligence; Information system impacts; Information systems; Information systems adoption; Quantum computing; Theory building,,Elsevier Ltd,,,,,Editorial,
Yadalam P.K.; Natarajan P.M.; Saeed M.H.; Ardila C.M.,Variational Approaches for Drug-Disease-Gene Links in Periodontal Inflammation,2025,International Dental Journal,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85206213800&doi=10.1016%2fj.identj.2024.09.025&partnerID=40&md5=ab111aff19607930e607b6a2d6f6c64a,"Introduction and Objectives: Oral diseases, including gingivitis and periodontitis, are linked to the Wnt signaling pathway, vital for bone metabolism, cementum homeostasis, and mesenchymal stem cell differentiation. Advances in generative AI techniques, such as variational autoencoders (VAEs) and quantum variational classifiers (QVCs), offer promising tools for predicting gene associations between drugs and diseases. This study aims to compare the predictive performance of VAEs and QVCs in modeling drug-disease gene networks within the Wnt signaling pathway in periodontal inflammation. Methods: Genes associated with Wnt-related periodontal inflammation were identified through comprehensive literature reviews and genomic databases. Their roles in various biological processes were evaluated using gene set enrichment analysis, employing tools like Enrichr, which integrates diverse gene sets from sources such as DSigDB, DisGeNET, and Lincs_l1000.drug. The study then applied VAEs and QVCs to predict gene-disease associations related to the Wnt signaling pathway. Results: The analysis revealed an extensive network comprising 1738 nodes and 1498 edges, averaging 1.992 neighbors per node. The network exhibited a diameter of 2, a radius of 1, and a characteristic path length of 1.992, indicating limited interconnectivity. The VQA model demonstrated a high accuracy rate of 97.5%, although it only detected 50% of anomalies. The VQC model achieved a precision of 78%, with Class 1 samples showing improved recall and a balanced F1 score. Conclusion: VQC and VAE models exhibit strong potential for discovering FDA-approved drugs by predicting gene-drug associations in periodontitis based on the Wnt signaling pathway. Clinical Relevance: This study highlights the potential of VAEs and QVCs in predicting gene-drug associations for periodontal inflammation. This could lead to more targeted therapies for oral diseases like periodontitis, improving patient outcomes and advancing personalized treatment strategies in clinical practice. © 2024 The Authors",10.1016/j.identj.2024.09.025,"Department of Periodontics, Saveetha Dental College and Hospital, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamil Nadu, Chennai, 600077, India; Department of Clinical Sciences, Center of Medical and Bio-allied Health Sciences and Research, College of Dentistry, Ajman University, Ajman, United Arab Emirates; Restorative Dentistry, College of Dentistry. Ajman University, Ajman, United Arab Emirates; Carlos-M. Ardila. DDS. Periodontist. Ph.D in Epidemiology. Postdoc in Bioethics Titular Professor. Universidad de Antioquia U de A, Medellín, Colombia. Biomedical Stomatology Research Group, Universidad de Antioquia U de A, Medellín, Colombia","Yadalam P.K., Department of Periodontics, Saveetha Dental College and Hospital, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamil Nadu, Chennai, 600077, India; Natarajan P.M., Department of Clinical Sciences, Center of Medical and Bio-allied Health Sciences and Research, College of Dentistry, Ajman University, Ajman, United Arab Emirates; Saeed M.H., Restorative Dentistry, College of Dentistry. Ajman University, Ajman, United Arab Emirates; Ardila C.M., Carlos-M. Ardila. DDS. Periodontist. Ph.D in Epidemiology. Postdoc in Bioethics Titular Professor. Universidad de Antioquia U de A, Medellín, Colombia. Biomedical Stomatology Research Group, Universidad de Antioquia U de A, Medellín, Colombia",Gene-Drug Interaction; machine learning; periodontitis; quantum computing; Wnt Signaling Pathway,Gene Regulatory Networks; Humans; Periodontitis; Wnt Signaling Pathway; gene regulatory network; genetics; human; periodontitis; Wnt signaling,Elsevier Inc.,,,,,Article,All Open Access; Gold Open Access
Miranda E.R.; Siegelwax B.N.,Advancing generative AI for music with photonics,2025,"International Journal of Parallel, Emergent and Distributed Systems",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-86000225113&doi=10.1080%2f17445760.2025.2472209&partnerID=40&md5=c207cd9e6f163c0a6623b1cd929e22be,"This paper presents PhotoSing, a system that learns to generate polyphonic tunes by extracting sequencing rules from given examples. We developed a method to encode given pieces of music in terms of unique musical events, referred to as UMEs, and stochastic rules for sequencing them. Those rules are subsequently converted into representations to be processed by a photonic computer to generate new compositions. This research builds upon a previous system, QuSing, which generated monophonic tunes with superconducting quantum computing. The paper discusses the pitfalls of the previous system, the research and the solutions developed to improve them. It details the system with demonstrative musical examples and analyses. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",10.1080/17445760.2025.2472209,"Interdisciplinary Centre for Computer Music Research, School of Art, Design and Architecture, University of Plymouth, Plymouth, United Kingdom; Independent Consultant, Cebu City, Philippines","Miranda E.R., Interdisciplinary Centre for Computer Music Research, School of Art, Design and Architecture, University of Plymouth, Plymouth, United Kingdom; Siegelwax B.N., Independent Consultant, Cebu City, Philippines",generative systems; music and AI; photonic computing; Quantum computer music,,Taylor and Francis Ltd.,,,,,Article,
,"19th International Conference on Hybrid Artificial Intelligence Systems, HAIS 2024",2025,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85207678799&partnerID=40&md5=411c753866d24f944cf8535ae110c1ed,The proceedings contain 52 papers. The special focus in this conference is on Hybrid Artificial Intelligence Systems. The topics include: The Third Codon Nucleotide’s Role in Genetic Recombination Within SARS-CoV-2 Spike Protein: A Pilot Study; machine Learning for the Identification of Biomarker and Risk Factors associated with Depression in Adult Population: Preliminary Results on a Small Cohort; Unveiling HIV-1 U Sequences: Shedding Light Through Transfer Learning on Genomic Spectrograms; model to Early Detection of Autism Spectrum Disorder Through Opinion Mining Approach; A Short Analysis of Hybrid Approaches in COVID‑19 for Detection and Diagnosing; A Graph Neural Network with Multi-head Attention for Universal Brain Disease Diagnosis from fMRI Images; a Computer Vision Approach to Detect Facial Characteristics Related to Encephalopathy in Term Infants; SPADE Norms: a Distributed General Framework for Normative Multi-agent Systems; Finding Optimal Classroom Arrangements to Minimize Cheating in Exams Using a Hybrid AI System; resilience to the Flowing Unknown: An Open Set Recognition Framework for Data Streams; a Comparison Procedure for the Evaluation of Metaheuristics; Nyström and RFF Ensembles for Large-Scale Kernel Predictions; application of Transfer Learning to Online Models in Malware Detection; a New Training Algorithm for Support Vector Machines; soft Adaptive Segments for Bio-Inspired Temporal Memory; assessing Generative Artificial Intelligence in Fundamental Physics with Gaussian Processes; implementation of Classical Decision Trees in a Quantum Computing Paradigm; machine Learning Methods as Robust Quantum Noise Estimators; The Impact of Data Annotations on the Performance of Object Detection Models in Icon Detection for GUI Images; bayesian Model Selection Pruning in Predictive Maintenance; neonates Crying Detection Through Feature Extraction and Machine Learning Methods; differentiable Prototypes with Distributed Memory Network for Continual Learning; efficient Continuous Sign Language Recognition with Temporal Shift and Channel Attention; solving the Clustered Minimum Routing Tree Problem Using Prüfer-Coding Based Hybrid Genetic Algorithms.,,,,,,Springer Science and Business Media Deutschland GmbH,,"19th International Conference on Hybrid Artificial Intelligence Systems, HAIS 2024",9 October 2024 through 11 October 2024,Salamanca,Conference review,
,"25th International Conference on Product-Focused Software Process Improvement, PROFES 2024",2025,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85211896041&partnerID=40&md5=eb289e67ff529f59413d59f4bbf9ec78,The proceedings contain 13 papers. The special focus in this conference is on Product-Focused Software Process Improvement. The topics include: A Multi-model Approach for Video Data Retrieval in Autonomous Vehicle Development; AI-Based Automotive Test Case Generation: An Action Research Study on Integration of Generative AI into Test Automation Frameworks; AI Act High-Risk Requirements Readiness: Industrial Perspectives and Case Company Insights; adopting Continuous Deployment in a Public Administration Project: An Industrial Case Study; an Automated Approach to Identify Source Code Files Affected by Architectural Technical Debt; on the Derivation of Quality Assurance Plans from Process Model Descriptions; Evaluating AI-Based Code Segmentation for ABAP Programs in an Industrial Use Case; quantum Algorithms: Application and Feasibility; towards Solving Short-Term Generation Scheduling Problems on Quantum Computers; generating and Evolving Real-Life Like Synthetic Data for e-Government Services Without Using Real-World Raw Data; a Data-Driven Approach to Optimize Internal Software Quality and Customer Value Delivery.,,,,,,Springer Science and Business Media Deutschland GmbH,,"25th International Conference on Product-Focused Software Process Improvement, PROFES 2024",2 December 2024 through 4 December 2024,Tartu,Conference review,
Kumari Pappala L.; Babu Veesam S.; Chattu K.; Venkata Krishna J.; Devi Bodapati J.; Rao B.,Design of an Iterative Model for Incremental Enhancements in Quantum Image Processing Using Reinforcement Learning-Based Optimizations,2025,IEEE Access,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85216350572&doi=10.1109%2fACCESS.2025.3531407&partnerID=40&md5=05546eb7a6855f5718b69fc2ae8b3527,"In this text we propose a collection of enhanced quantum methods that would drastically enhance the efficiency and accuracy of biomedical image processing. There are four key methodologies that have been proposed in this work: Quantum Support Vector Machines with Enhanced Feature Extraction, Quantum Generative Adversarial Networks for Data Augmentation, Quantum Entanglement and Correlation Analysis for Feature Detection, and Quantum-Enhanced Image Reconstruction for Noisy Data Samples. Q-SVM-EFE is a Quantum Support Vector Machine-based framework that incorporates advanced feature extraction to map classical image data into high-dimensional quantum states, which should capture intricate patterns and therefore be more accurate for classification. This approach scored more than 95 percent in terms of classification accuracy and tenfold increased the speed of training compared to classical SVMs. QGAN-DA generates high-quality synthetic images to alleviate the scarcity of labeled medical data. It trains a generator network through quantum circuits for the generation of new samples and a discriminator network for real image and sample classification, thus ensuring high diversity and quality in synthetic data with SSIM values above 0.90. QECA-FD applies quantum entanglement in the analysis of biomedical image correlations and is therefore very effective in detecting subtle features and anomalies. This resulted in over 95% sensitivity in anomaly detection and increased the speed of the correlation analysis by five times. QIR-ND enables enhanced image reconstruction from sullied or incomplete data through quantum noise reduction and reconstruction techniques. This new approach gave a PSNR greater than 40 dB and an eightfold improvement in reconstruction delays.  © 2013 IEEE.",10.1109/ACCESS.2025.3531407,"VIT-AP University, School of Computer Science and Engineering, Andhra Pradesh, Amaravati, 522237, India; Srinivas University, Unit Head of IoT and Robotics and AI, AR&VR Departments, Institute of Engineering and Technology, Mangaluru, 574146, India; Vignan's Foundation for Science, Technology and Research, Department of Advanced Computer Science and Engineering, Andhra Pradesh, Vadlamudi, 522213, India; Kallam Haranadhareddy Institute of Technology, Department of CSE, Andhra Pradesh, Guntur, 522019, India","Kumari Pappala L., VIT-AP University, School of Computer Science and Engineering, Andhra Pradesh, Amaravati, 522237, India; Babu Veesam S., VIT-AP University, School of Computer Science and Engineering, Andhra Pradesh, Amaravati, 522237, India; Chattu K., VIT-AP University, School of Computer Science and Engineering, Andhra Pradesh, Amaravati, 522237, India; Venkata Krishna J., Srinivas University, Unit Head of IoT and Robotics and AI, AR&VR Departments, Institute of Engineering and Technology, Mangaluru, 574146, India; Devi Bodapati J., Vignan's Foundation for Science, Technology and Research, Department of Advanced Computer Science and Engineering, Andhra Pradesh, Vadlamudi, 522213, India; Rao B., Kallam Haranadhareddy Institute of Technology, Department of CSE, Andhra Pradesh, Guntur, 522019, India",Biomedical imaging; generative adversarial networks; image reconstruction; quantum computing; support vector machines,Anomaly detection; Image correlation; Image enhancement; Image reconstruction; Labeled data; Medical image processing; Quantum computers; Quantum electronics; Reinforcement learning; Support vector machines; Adversarial networks; Biomedical images; Biomedical imaging; Correlation analysis; Features extraction; Images reconstruction; Iterative model; Quantum Computing; Quantum image processing; Support vectors machine; Quantum entanglement,Institute of Electrical and Electronics Engineers Inc.,,,,,Article,All Open Access; Gold Open Access
Abaddi S.,Q-Omni: A quantum computing and GPT-4o solution for Camel-Vehicle Collisions,2025,International Journal of Transportation Science and Technology,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85219147983&doi=10.1016%2fj.ijtst.2025.02.002&partnerID=40&md5=b51cb9faea3f045e6c5852d8563beafa,"Camel-Vehicle Collisions (CVCs) have been a major cause of public safety hazards in the Gulf countries, in particular, the United Arab Emirates and Saudi Arabia. It is similar to deer-vehicle collisions in the United States and kangaroo-vehicle collisions in Australia. When it comes to road accidents, each millisecond of early warning/detection matters, potentially transforming a life-threatening situation into a manageable incident. Therefore, this study aims to mitigate CVCs by integrating quantum computing and Generative Pretrained Transformer-4Omni (GPT-4o) into autonomous vehicles (AVs). Environmental data was sourced through high-accuracy sensors in conjunction with quantum algorithms and GPT-4o modules handling the processing through a multi-phase approach. The integration allowed for enhanced detection, tracking, and decision-making regarding camel movements. Heatmaps revealed heightened camel activity during low-visibility nighttime conditions and seasonal peaks, particularly during the breeding season. The quantum-enhanced algorithms achieved a mean detection accuracy of 95% and tracking precision of 92%, with computational speeds 10x that of classical methods. GPT-4o vision modules further improved object detection accuracy to 98.7%, securing (ʈ=0.97) seconds as an early warning to the AV's braking system. This innovative approach offers a novel paradigm in AV technology, setting new standards for safety and efficiency in transportation. Future GPT-5 models can be used in AVs and with sophisticated technologies for safer driving and wildlife protection. The results obtained from this study go beyond updating AV safety technology, opening avenues for application in urban planning and real-time hazard detection systems. © 2025 Tongji University and Tongji University Press",10.1016/j.ijtst.2025.02.002,"IDentity Research, Amman, Jordan","Abaddi S., IDentity Research, Amman, Jordan",Autonomous vehicles; Camel-vehicle collisions; GPT-4o; Quantum computing; Transportation science,Highway accidents; Network security; Quantum electronics; Qubits; Urban transportation; Autonomous Vehicles; Camel-vehicle collision; Detection accuracy; Early warning; Generative pretrained transformer-4omni; Public safety; Quantum Computing; Safety hazards; Transportation science; Vehicles collision; Autonomous vehicles,KeAi Communications Co.,,,,,Article,All Open Access; Gold Open Access
